Journal Title,ISSN (Print),ISSN (Online),Categories
International journal of rehabilitation research. Internationale Zeitschrift für Rehabilitationsforschung.  Revue internationale de recherches de réadaptation.,0342-5282,1473-5660,Physical and Rehabilitation Medicine
International journal of sport nutrition and exercise metabolism.,1526-484X,1543-2742,Metabolism; Nutritional Sciences; Sports Medicine
International journal of sports medicine.,0172-4622,1439-3964,Sports Medicine
International journal of sports physiology and performance.,1555-0265,1555-0273,Physiology; Sports Medicine
Journal of ISAKOS : joint disorders & orthopaedic sports medicine.,2059-7754,2059-7762,Orthopedics; Sports Medicine
Journal of applied biomechanics.,1065-8483,1543-2688,Biomedical Engineering; Physiology; Sports Medicine
Journal of athletic training.,1062-6050,1938-162X,Sports Medicine
Journal of back and musculoskeletal rehabilitation.,1053-8127,1878-6324,Physical and Rehabilitation Medicine; Physiology
Journal of bodywork and movement therapies.,1360-8592,1532-9283,Physical and Rehabilitation Medicine; Therapeutics
Journal of cardiopulmonary rehabilitation and prevention.,1932-7501,1932-751X,Cardiology; Physical and Rehabilitation Medicine; Pulmonary Medicine
Journal of dance medicine & science : official publication of the International Association for Dance Medicine & Science.,1089-313X,2374-8060,Physical and Rehabilitation Medicine; Sports Medicine
Journal of geriatric physical therapy.,1539-8412,2152-0895,Geriatrics; Physical and Rehabilitation Medicine
Journal of hand therapy : official journal of the American Society of Hand Therapists.,0894-1130,1545-004X,Physical and Rehabilitation Medicine
Journal of neuroengineering and rehabilitation.,,1743-0003,Biomedical Engineering; Neurology; Physical and Rehabilitation Medicine
Journal of neurologic physical therapy : JNPT.,1557-0576,1557-0584,Neurology; Physical and Rehabilitation Medicine
Journal of occupational rehabilitation.,1053-0487,1573-3688,Physical and Rehabilitation Medicine
Journal of pediatric rehabilitation medicine.,1874-5393,1875-8894,Pediatrics; Physical and Rehabilitation Medicine
Journal of physical activity & health.,1543-3080,1543-5474,Sports Medicine
Journal of physiotherapy.,1836-9553,1836-9561,Physical and Rehabilitation Medicine
Journal of rehabilitation medicine.,1650-1977,1651-2081,Physical and Rehabilitation Medicine
Journal of science and medicine in sport,1440-2440,1878-1861,Sports Medicine
Journal of sport & exercise psychology.,0895-2779,1543-2904,Psychology; Sports Medicine
Journal of sport and health science.,2095-2546,2213-2961,Sports Medicine
Journal of sport rehabilitation.,1056-6716,1543-3072,Physical and Rehabilitation Medicine; Sports Medicine
Journal of sports science & medicine.,,1303-2968,Sports Medicine
Journal of sports sciences.,0264-0414,1466-447X,Sports Medicine
Journal of the International Society of Sports Nutrition.,,1550-2783,Nutritional Sciences; Sports Medicine
"Journal, physical therapy education.",0899-1855,1938-3533,Education; Physical and Rehabilitation Medicine
"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA.",0942-2056,1433-7347,General Surgery; Sports Medicine; Traumatology
Medicine and science in sports and exercise.,0195-9131,1530-0315,Sports Medicine
Musculoskeletal science & practice.,2468-8630,2468-7812,Physical and Rehabilitation Medicine
NeuroRehabilitation.,1053-8135,1878-6448,Neurology; Physical and Rehabilitation Medicine
Neuropsychological rehabilitation.,0960-2011,1464-0694,Neurology; Physical and Rehabilitation Medicine; Psychology
Neurorehabilitation and neural repair.,1545-9683,1552-6844,Neurology; Physical and Rehabilitation Medicine
"OTJR : occupation, participation and health.",1539-4492,1938-2383,Occupational Medicine; Physical and Rehabilitation Medicine; Psychiatry
Occupational therapy in health care.,0738-0577,1541-3098,Physical and Rehabilitation Medicine
Occupational therapy international.,0966-7903,1557-0703,Physical and Rehabilitation Medicine
"Ortopedia, traumatologia, rehabilitacja.",1509-3492,2084-4336,Orthopedics; Physical and Rehabilitation Medicine; Traumatology
"PM & R : the journal of injury, function, and rehabilitation.",1934-1482,1934-1563,Physical and Rehabilitation Medicine; Traumatology
Pediatric exercise science.,0899-8493,1543-2920,Pediatrics; Sports Medicine
Pediatric physical therapy : the official publication of the Section on Pediatrics of the American Physical Therapy Association.,0898-5669,1538-005X,Pediatrics; Physical and Rehabilitation Medicine
Physical & occupational therapy in pediatrics.,0194-2638,1541-3144,Pediatrics; Physical and Rehabilitation Medicine
Physical medicine and rehabilitation clinics of North America.,1047-9651,1558-1381,Physical and Rehabilitation Medicine
Physical therapy in sport : official journal of the Association of Chartered Physiotherapists in Sports Medicine.,1466-853X,1873-1600,Physical and Rehabilitation Medicine; Sports Medicine
Physical therapy.,0031-9023,1538-6724,Physical and Rehabilitation Medicine
Physiotherapy research international : the journal for researchers and clinicians in physical therapy.,1358-2267,1471-2865,Physical and Rehabilitation Medicine
Physiotherapy theory and practice.,0959-3985,1532-5040,Physical and Rehabilitation Medicine
Physiotherapy.,0031-9406,1873-1465,Physical and Rehabilitation Medicine
Psychology of sport and exercise.,1469-0292,1878-5476,Psychology; Sports Medicine
"Quality of life research : an international journal of quality of life aspects of treatment, care and rehabilitation.",0962-9343,1573-2649,Physical and Rehabilitation Medicine; Therapeutics
Rehabilitation nursing : the official journal of the Association of Rehabilitation Nurses.,0278-4807,2048-7940,Nursing; Physical and Rehabilitation Medicine
Rehabilitation psychology.,0090-5550,1939-1544,Physical and Rehabilitation Medicine; Psychology
Research in sports medicine.,1543-8627,1543-8635,Sports Medicine
Research quarterly for exercise and sport.,0270-1367,2168-3824,Sports Medicine
Scandinavian journal of medicine & science in sports.,0905-7188,1600-0838,Sports Medicine
Scandinavian journal of occupational therapy.,1103-8128,1651-2014,Physical and Rehabilitation Medicine
Science & medicine in football.,2473-3938,2473-4446,Sports Medicine
Sports biomechanics,1476-3141,1752-6116,Physiology; Sports Medicine
Sports health.,1941-7381,1941-0921,Sports Medicine
Sports medicine and arthroscopy review.,1062-8592,1538-1951,Orthopedics; Sports Medicine
Sports medicine.,0112-1642,1179-2035,Sports Medicine
Sportverletzung Sportschaden : Organ der Gesellschaft für Orthopädisch-Traumatologische Sportmedizin.,0932-0555,1439-1236,Orthopedics; Sports Medicine
The American journal of occupational therapy : official publication of the American Occupational Therapy Association.,0272-9490,1943-7676,Physical and Rehabilitation Medicine
The American journal of sports medicine.,0363-5465,1552-3365,Sports Medicine
The Journal of head trauma rehabilitation.,0885-9701,1550-509X,Physical and Rehabilitation Medicine; Traumatology
The Journal of manual & manipulative therapy.,1066-9817,2042-6186,Physical and Rehabilitation Medicine
The Journal of orthopaedic and sports physical therapy.,0190-6011,1938-1344,Orthopedics; Physical and Rehabilitation Medicine; Sports Medicine
The Journal of sports medicine and physical fitness.,0022-4707,1827-1928,Sports Medicine
The Physician and sportsmedicine.,0091-3847,2326-3660,Sports Medicine
The international journal of behavioral nutrition and physical activity.,,1479-5868,Behavioral Sciences; Nutritional Sciences; Sports Medicine
The journal of spinal cord medicine.,1079-0268,2045-7723,Neurology; Physical and Rehabilitation Medicine
Topics in spinal cord injury rehabilitation.,1082-0744,1945-5763,Physical and Rehabilitation Medicine; Traumatology
Topics in stroke rehabilitation.,1074-9357,1945-5119,Physical and Rehabilitation Medicine; Vascular Diseases
Torture : quarterly journal on rehabilitation of torture victims and prevention of torture.,1018-8185,1997-3322,Physical and Rehabilitation Medicine; Social Sciences; Traumatology
Transactions of the American Clinical and Climatological Association.,0065-7778,,Physical and Rehabilitation Medicine
"Undersea & hyperbaric medicine : journal of the Undersea and Hyperbaric Medical Society, Inc.",1066-2936,,Military Medicine; Physiology; Sports Medicine
"Voprosy kurortologii, fizioterapii, i lechebnoĭ fizicheskoĭ kultury.",0042-8787,2309-1355,Physical and Rehabilitation Medicine
