Journal Title,MEDLINE Abbreviation,ISSN (Print),ISSN (Online),Country,Categories,Start Year,NLM ID
Journal of pediatric and adolescent gynecology.,J Pediatr Adolesc Gynecol,1083-3188,1873-4332,United States,Gynecology; Pediatrics,1996,9610774
Journal of perinatal medicine.,J Perinat Med,0300-5577,1619-3997,Germany,Perinatology,1973,0361031
Journal of perinatology : official journal of the California Perinatal Association.,J Perinatol,0743-8346,1476-5543,United States,Perinatology,1984,8501884
Journal of pregnancy.,J Pregnancy,2090-2727,2090-2735,United States,Obstetrics,2010,101553823
Journal of psychosomatic obstetrics and gynaecology.,J Psychosom Obstet Gynaecol,0167-482X,1743-8942,England,Gynecology; Obstetrics; Psychiatry,1982,8308648
Journal of reproductive and infant psychology.,J Reprod Infant Psychol,0264-6838,1469-672X,England,Psychology; Reproductive Medicine,1983,8501885
Journal of reproductive immunology.,J Reprod Immunol,0165-0378,1872-7603,Ireland,Allergy and Immunology; Reproductive Medicine,1979,8001906
Journal of sex research.,J Sex Res,0022-4499,1559-8519,United States,Behavioral Sciences; Reproductive Medicine,1965,0062647
Journal of the American College of Surgeons.,J Am Coll Surg,1072-7515,1879-1190,United States,General Surgery; Gynecology; Obstetrics,1994,9431305
Journal of women & aging.,J Women Aging,0895-2841,1540-7322,England,Geriatrics; Women's Health,1988,8916635
Journal of women's health.,J Womens Health (Larchmt),1540-9996,1931-843X,United States,Gynecology; Women's Health,2002,101159262
Maternal & child nutrition.,Matern Child Nutr,1740-8695,1740-8709,England,Nutritional Sciences; Perinatology,2004,101201025
Maternal and child health journal.,Matern Child Health J,1092-7875,1573-6628,United States,Perinatology,1997,9715672
Menopause : the journal of the North American Menopause Society.,Menopause,1072-3714,1530-0374,United States,Gynecology,1994,9433353
Midwifery.,Midwifery,0266-6138,1532-3099,Scotland,Nursing; Obstetrics,1985,8510930
Minerva obstetrics and gynecology.,Minerva Obstet Gynecol,2724-606X,2724-6450,Italy,Gynecology,2021,101777346
Molecular human reproduction.,Mol Hum Reprod,1360-9947,1460-2407,England,Molecular Biology; Reproductive Medicine,1995,9513710
Molecular reproduction and development.,Mol Reprod Dev,1040-452X,1098-2795,United States,Molecular Biology; Reproductive Medicine,1988,8903333
NeoReviews.,Neoreviews,,1526-9906,United States,Perinatology,2000,101085360
Neonatal network : NN.,Neonatal Netw,0730-0832,1539-2880,United States,Nursing; Perinatology,1981,8503921
Neonatology.,Neonatology,1661-7800,1661-7819,Switzerland,Perinatology,2007,101286577
Nursing for women's health.,Nurs Womens Health,1751-4851,1751-486X,United States,Nursing; Obstetrics; Perinatology; Women's Health,2007,101304602
Obstetrical & gynecological survey.,Obstet Gynecol Surv,0029-7828,1533-9866,United States,Gynecology; Obstetrics,1946,0401007
Obstetrics and gynecology clinics of North America.,Obstet Gynecol Clin North Am,0889-8545,1558-0474,United States,Gynecology; Obstetrics,1987,8709551
Obstetrics and gynecology.,Obstet Gynecol,0029-7844,1873-233X,United States,Gynecology; Obstetrics,1953,0401101
Paediatric and perinatal epidemiology.,Paediatr Perinat Epidemiol,0269-5022,1365-3016,England,Epidemiology; Pediatrics; Perinatology,1987,8709766
Perspectives on sexual and reproductive health.,Perspect Sex Reprod Health,1538-6341,1931-2393,United States,Family Planning Services,2002,101140654
Placenta.,Placenta,0143-4004,1532-3102,Netherlands,Embryology; Obstetrics; Physiology,1980,8006349
Post reproductive health.,Post Reprod Health,2053-3691,2053-3705,United States,Gynecology,2014,101626590
Pregnancy hypertension.,Pregnancy Hypertens,2210-7789,2210-7797,Netherlands,Gynecology; Vascular Diseases,2011,101552483
Prenatal diagnosis.,Prenat Diagn,0197-3851,1097-0223,England,Obstetrics,1981,8106540
Reproduction & fertility.,Reprod Fertil,,2633-8386,England,Reproductive Medicine; Veterinary Medicine,2020,101778727
Reproduction : the official journal of the Society for the Study of Fertility.,Reproduction,1470-1626,1741-7899,England,Reproductive Medicine,2001,100966036
Reproduction in domestic animals = Zuchthygiene.,Reprod Domest Anim,0936-6768,1439-0531,Germany,Reproductive Medicine; Veterinary Medicine; Zoology,1990,9015668
"Reproduction, fertility, and development.",Reprod Fertil Dev,1031-3613,1448-5990,Australia,Reproductive Medicine,1989,8907465
Reproductive biology and endocrinology : RB&E.,Reprod Biol Endocrinol,,1477-7827,England,Endocrinology; Reproductive Medicine,2003,101153627
Reproductive biology.,Reprod Biol,1642-431X,2300-732X,Poland,Reproductive Medicine,2001,101160559
Reproductive biomedicine online.,Reprod Biomed Online,1472-6483,1472-6491,Netherlands,Reproductive Medicine,2000,101122473
Reproductive health.,Reprod Health,,1742-4755,England,Reproductive Medicine,2004,101224380
Reproductive sciences.,Reprod Sci,1933-7191,1933-7205,United States,Reproductive Medicine,2007,101291249
Reproductive toxicology.,Reprod Toxicol,0890-6238,1873-1708,United States,Embryology; Reproductive Medicine; Toxicology,1987,8803591
Revista brasileira de ginecologia e obstetrícia : revista da Federação Brasileira das Sociedades de Ginecologia e Obstetrícia.,Rev Bras Ginecol Obstet,0100-7203,1806-9339,Brazil,Gynecology; Obstetrics,1979,9214757
Revista internacional de andrología.,Rev Int Androl,1698-031X,1698-0409,Singapore,Reproductive Medicine,2004,101500934
Rozhledy v chirurgii : měsíčník Československé chirurgické společnosti.,Rozhl Chir,0035-9351,1805-4579,Czech Republic,General Surgery; Gynecology; Obstetrics,1938,9815441
Seminars in fetal & neonatal medicine.,Semin Fetal Neonatal Med,1744-165X,1878-0946,Netherlands,Pediatrics; Perinatology,2004,101240003
Seminars in perinatology.,Semin Perinatol,0146-0005,1558-075X,United States,Perinatology,1977,7801132
Seminars in reproductive medicine.,Semin Reprod Med,1526-8004,1526-4564,United States,Reproductive Medicine,2000,100909394
Sexual & reproductive healthcare : official journal of the Swedish Association of Midwives.,Sex Reprod Healthc,1877-5756,1877-5764,Netherlands,Obstetrics; Reproductive Medicine,2010,101530546
Sexual and reproductive health matters.,Sex Reprod Health Matters,,2641-0397,England,Public Health; Reproductive Medicine,2019,101743493
Sexual medicine reviews.,Sex Med Rev,2050-0513,2050-0521,Netherlands,Reproductive Medicine,2013,101614773
Studies in family planning.,Stud Fam Plann,0039-3665,1728-4465,United States,Family Planning Services,1963,7810364
Systems biology in reproductive medicine.,Syst Biol Reprod Med,1939-6368,1939-6376,England,Computational Biology; Reproductive Medicine,2008,101464963
Taiwanese journal of obstetrics & gynecology.,Taiwan J Obstet Gynecol,1028-4559,1875-6263,China (Republic : 1949- ),Gynecology; Obstetrics,1985,101213819
The Australian & New Zealand journal of obstetrics & gynaecology.,Aust N Z J Obstet Gynaecol,0004-8666,1479-828X,Australia,Gynecology; Obstetrics,1961,0001027
The European journal of contraception & reproductive health care : the official journal of the European Society of Contraception.,Eur J Contracept Reprod Health Care,1362-5187,1473-0782,England,Family Planning Services; Reproductive Medicine,1996,9712127
The Journal of perinatal & neonatal nursing.,J Perinat Neonatal Nurs,0893-2190,1550-5073,United States,Nursing; Perinatology,1987,8801387
The Journal of reproduction and development.,J Reprod Dev,0916-8818,1348-4400,Japan,Reproductive Medicine,1992,9438792
The New bioethics : a multidisciplinary journal of biotechnology and the body.,New Bioeth,2050-2877,2050-2885,England,Ethics; Genetics; Reproductive Medicine,2012,101627814
"The journal of maternal-fetal & neonatal medicine : the official journal of the European Association of Perinatal Medicine, the Federation of Asia and Oceania Perinatal Societies, the International Society of Perinatal Obstetricians.",J Matern Fetal Neonatal Med,1476-7058,1476-4954,England,Obstetrics; Perinatology,2002,101136916
The journal of obstetrics and gynaecology research.,J Obstet Gynaecol Res,1341-8076,1447-0756,Australia,Gynecology; Obstetrics,1996,9612761
The journal of sexual medicine.,J Sex Med,1743-6095,1743-6109,Netherlands,Gynecology; Reproductive Medicine; Urology,2004,101230693
Theoretical population biology.,Theor Popul Biol,0040-5809,1096-0325,United States,"Genetics, Medical; Reproductive Medicine",1970,0256422
Theriogenology.,Theriogenology,0093-691X,1879-3231,United States,Reproductive Medicine; Veterinary Medicine,1974,0421510
Ultrasound in obstetrics & gynecology : the official journal of the International Society of Ultrasound in Obstetrics and Gynecology.,Ultrasound Obstet Gynecol,0960-7692,1469-0705,England,Diagnostic Imaging; Gynecology; Obstetrics,1991,9108340
Urogynecology.,Urogynecology (Phila),,2771-1897,United States,General Surgery; Gynecology; Urology,2022,9918452588006676
Violence against women.,Violence Against Women,1077-8012,1552-8448,United States,Traumatology; Women's Health,1995,9506308
Women & health.,Women Health,0363-0242,1541-0331,United States,Gynecology; Obstetrics; Women's Health,1976,7608076
Women and birth : journal of the Australian College of Midwives.,Women Birth,1871-5192,1878-1799,Netherlands,Nursing; Obstetrics,2006,101266131
Women's health issues : official publication of the Jacobs Institute of Women's Health.,Womens Health Issues,1049-3867,1878-4321,United States,Gynecology; Obstetrics; Women's Health,1990,9101000
Women's health.,Womens Health (Lond),1745-5057,1745-5065,United States,Women's Health,2005,101271249
Women’s health nursing.,Womens Health Nurs,3022-7666,3022-8247,Korea (South),Nursing; Women's Health,2024,9918804087906676
Zeitschrift für Geburtshilfe und Neonatologie.,Z Geburtshilfe Neonatol,0948-2393,1439-1651,Germany,Perinatology,1995,9508901
Zhonghua fu chan ke za zhi.,Zhonghua Fu Chan Ke Za Zhi,0529-567X,,China,Gynecology; Obstetrics,1953,16210370R
Zhonghua nan ke xue = National journal of andrology.,Zhonghua Nan Ke Xue,1009-3591,,China,Reproductive Medicine,1995,101093592
