Journal Title,MEDLINE Abbreviation,ISSN (Print),ISSN (Online),Country,Categories,Start Year,NLM ID
Psychotherapy and psychosomatics.,Psychother Psychosom,0033-3190,1423-0348,Switzerland,Psychiatry; Therapeutics,1965,0024046
Community mental health journal.,Community Ment Health J,0010-3853,1573-2789,United States,Psychology,1965,0005735
Journal of personality and social psychology.,J Pers Soc Psychol,0022-3514,1939-1315,United States,Psychology,1965,0014171
The British journal of mathematical and statistical psychology.,Br J Math Stat Psychol,0007-1102,2044-8317,England,Psychology; Statistics as Topic,1965,0004047
Cortex; a journal devoted to the study of the nervous system and behavior.,Cortex,0010-9452,1973-8102,Italy,Behavioral Sciences; Brain; Neurology,1964,0100725
Psychophysiology.,Psychophysiology,0048-5772,1469-8986,United States,Psychophysiology,1964,0142657
Advances in child development and behavior.,Adv Child Dev Behav,0065-2407,,United States,Behavioral Sciences; Pediatrics,1963,0370417
Behaviour research and therapy.,Behav Res Ther,0005-7967,1873-622X,England,Behavioral Sciences; Therapeutics,1963,0372477
Psychoanalytic review.,Psychoanal Rev,0033-2836,1943-3301,United States,Psychiatry,1963,0401156
The British journal of psychiatry : the journal of mental science.,Br J Psychiatry,0007-1250,1472-1465,England,Psychiatry,1963,0342367
Psychotherapy.,Psychotherapy (Chic),0033-3204,1939-1536,United States,Psychology; Therapeutics,1963,2984829R
Acta psychiatrica Scandinavica.,Acta Psychiatr Scand,0001-690X,1600-0447,United States,Psychiatry,1961,0370364
Journal of psychiatric research.,J Psychiatr Res,0022-3956,1879-1379,England,Psychiatry,1961,0376331
Comprehensive psychiatry.,Compr Psychiatry,0010-440X,1532-8384,United States,Psychiatry,1960,0372612
Rivista di psichiatria.,Riv Psichiatr,0035-6484,2038-2502,Italy,Psychiatry,1960,0425672
"Journal of child psychology and psychiatry, and allied disciplines.",J Child Psychol Psychiatry,0021-9630,1469-7610,England,Psychiatry; Psychology,1960,0375361
Scandinavian journal of psychology.,Scand J Psychol,0036-5564,1467-9450,England,Psychology,1960,0404510
The International journal of clinical and experimental hypnosis.,Int J Clin Exp Hypn,0020-7144,1744-5183,England,Psychology; Therapeutics,1959,0376166
Journal of the experimental analysis of behavior.,J Exp Anal Behav,0022-5002,1938-3711,United States,Behavioral Sciences,1958,0203727
Human factors.,Hum Factors,0018-7208,1547-8181,United States,Psychology,1958,0374660
The American journal of clinical hypnosis.,Am J Clin Hypn,0002-9157,2160-0562,United States,Psychology; Therapeutics,1958,0100626
Ergonomics.,Ergonomics,0014-0139,1366-5847,England,Psychology,1957,0373220
Journal of psychosomatic research.,J Psychosom Res,0022-3999,1879-1360,England,Psychiatry,1956,0376333
The International journal of social psychiatry.,Int J Soc Psychiatry,0020-7640,1741-2854,England,Psychiatry,1955,0374726
Psychological reports.,Psychol Rep,0033-2941,1558-691X,United States,Psychology,1955,0376475
The Journal of analytical psychology.,J Anal Psychol,0021-8774,1468-5922,England,Psychology,1955,0376573
Perceptual and motor skills.,Percept Mot Skills,0031-5125,1558-688X,United States,Psychology; Psychophysiology,1955,0401131
The Journal of genetic psychology.,J Genet Psychol,0022-1325,1940-0896,United States,Behavioral Sciences; Genetics; Psychology,1954,2985112R
Journal of counseling psychology.,J Couns Psychol,0022-0167,,United States,Psychology,1954,2985124R
Journal of the American Psychoanalytic Association.,J Am Psychoanal Assoc,0003-0651,1941-2460,United States,Psychiatry,1953,7505579
British journal of psychology.,Br J Psychol,0007-1269,2044-8295,England,Psychology,1953,0373124
International journal of group psychotherapy.,Int J Group Psychother,0020-7284,1943-2836,England,Psychiatry; Therapeutics,1951,0374720
Annual review of psychology.,Annu Rev Psychol,0066-4308,1545-2085,United States,Psychology,1950,0372374
American journal of psychotherapy.,Am J Psychother,0002-9564,2575-6559,United States,Psychiatry; Therapeutics,1947,0110672
The American psychologist.,Am Psychol,0003-066X,1935-990X,United States,Psychology,1946,0370521
Journal of clinical psychology.,J Clin Psychol,0021-9762,1097-4679,United States,Psychology,1945,0217132
Journal of personality.,J Pers,0022-3506,1467-6494,United States,Psychology,1945,2985194R
American journal of psychoanalysis.,Am J Psychoanal,0002-9548,1573-6741,England,Psychiatry,1941,0372630
Psychiatry.,Psychiatry,0033-2747,1943-281X,United States,Psychiatry,1938,0376470
Psychometrika.,Psychometrika,0033-3123,1860-0980,England,Behavioral Sciences,1936,0376503
Bulletin of the Menninger Clinic.,Bull Menninger Clin,0025-9284,1943-2828,United States,Psychiatry,1936,7507032
Acta psychologica.,Acta Psychol (Amst),0001-6918,1873-6297,Netherlands,Psychology,1935,0370366
The Journal of psychology.,J Psychol,0022-3980,1940-1019,United States,Psychology,1935,0376332
The Psychoanalytic quarterly.,Psychoanal Q,0033-2828,2167-4086,United States,Psychiatry,1932,0226661
The American journal of orthopsychiatry.,Am J Orthopsychiatry,0002-9432,1939-0025,United States,Psychiatry; Psychology,1930,0400640
The Journal of social psychology.,J Soc Psychol,0022-4545,1940-1183,United States,Psychology,1930,0376372
The Journal of general psychology.,J Gen Psychol,0022-1309,1940-0888,United States,Psychology,1928,2985111R
The Psychiatric quarterly.,Psychiatr Q,0033-2720,1573-6709,United States,Psychiatry,1927,0376465
The American journal of psychiatry.,Am J Psychiatry,0002-953X,1535-7228,United States,Psychiatry,1921,0370512
The International journal of psycho-analysis.,Int J Psychoanal,0020-7578,1745-8315,England,Psychiatry,1920,2985179R
The Journal of applied psychology.,J Appl Psychol,0021-9010,1939-1854,United States,Psychology,1917,0222526
Epilepsia.,Epilepsia,0013-9580,1528-1167,United States,Brain; Neurology,1909,2983306R
Psychological bulletin.,Psychol Bull,0033-2909,1939-1455,United States,Psychology,1904,0376473
Psychological review.,Psychol Rev,0033-295X,1939-1471,United States,Psychology,1894,0376476
Brain : a journal of neurology.,Brain,0006-8950,1460-2156,England,Brain; Neurology,1878,0372537
